Time,st
1474740873281,9554
1474740874030,9557
1474740875525,9558
1474740876241,9559
1474740876958,9559
1474740878430,9559
1474740879180,9559
1474740879927,9559
1474740881367,9559
1474740882060,9559
1474740883485,9559
1474740884219,9559
1474740884982,9559
1474740886572,9559
1474740887383,9559
1474740888201,9559
1474740889030,9559
1474740890667,9559
1474740891485,9559
1474740892281,9559
1474740893069,9559
1474740894604,9559
1474740895352,9559
1474740896123,9559
1474740897691,9559
1474740898472,9559
1474740899241,9559
1474740900714,9559
1474740901430,9559
1474740902131,9559
1474740903542,9559
1474740904305,9559
1474740905114,9559
1474740906753,9559
1474740907572,9559
1474740908392,9559
1474740909187,9559
1474740910730,9559
1474740911478,9559
1474740912194,9559
1474740913668,9559
1474740914446,9559
1474740915257,9559
1474740916895,9559
1474740917675,9568
1474740918424,9570
1474740919840,9572
1474740920548,9574
1474740921249,9575
1474740922691,9577
1474740923399,9580
1474740924761,9581
1474740925438,9583
1474740926852,9585
1474740927581,9587
1474740928305,9589
1474740929698,9591
1474740930367,9593
1474740931709,9595
1474740932369,9597
1474740933683,9599
1474740935005,9600
1474740935659,9600
1474740936982,9600
1474740937646,9600
1474740938982,9600
1474740939643,9600
1474740940981,9600
1474740941635,9610
1474740942927,9612
1474740943566,9614
1474740944863,9616
1474740945509,9618
1474740946856,9619
1474740947518,9621
1474740948879,9623
1474740949574,9625
1474740951005,9627
1474740951722,9628
1474740953124,9630
1474740953785,9632
1474740955066,9634
1474740955691,9636
1474740956912,9637
1474740958171,9639
1474740958812,9641
1474740960115,9643
1474740960793,9645
1474740962163,9647
1474740962864,9648
1474740964273,9650
1474740964963,9652
1474740966298,9654
1474740966967,9656
1474740968289,9658
1474740968942,9659
1474740970256,9661
1474740970904,9663
1474740972163,9665
1474740972809,9666
1474740974068,9668
1474740975312,9670
1474740975927,9671
1474740977140,9673
1474740978384,9675
1474740979010,9676
1474740980304,9677
1474740981014,9679
1474740982549,9679
1474740983383,9680
1474740984218,9680
1474740985058,9680
1474740985919,9680
1474740987502,9680
1474740988234,9680
1474740988934,9680
1474740990336,9680
1474740991046,9680
1474740992462,9680
1474740993194,9680
1474740993958,9680
1474740995575,9680
1474740996392,9680
1474740997171,9680
1474740998611,9680
1474740999288,9680
1474740999959,9680
1474741001336,9680
1474741002066,9680
1474741003580,9680
1474741004359,9680
1474741005148,9680
1474741006746,9680
1474741007542,9680
1474741008352,9680
1474741009139,9680
1474741010613,9680
1474741011305,9680
1474741012659,9680
1474741013336,9680
1474741014813,9680
1474741015620,9680
1474741016423,9680
1474741017218,9680
1474741018801,9680
1474741019613,9680
1474741020415,9680
1474741021210,9680
1474741022698,9680
1474741023409,9680
1474741024785,9680
1474741025446,9680
1474741026769,9680
1474741027446,9680
1474741028924,9680
1474741029698,9680
1474741030431,9680
1474741031855,9680
1474741032564,9680
1474741033274,9680
1474741034675,9680
1474741035383,9680
1474741036792,9680
1474741037462,9680
1474741038770,9680
1474741039431,9680
1474741040769,9680
1474741041423,9680
1474741042770,9680
